Age,Occupation,Risk Tolerance,Investment Goals,Income Level,Account Balance,Deposits,Withdrawals,Transfers,International Transfers,Investments,Loan Amount,Employment Status,Loan Term (Months),Loan Status,Net Savings,Loan to Income Ratio,Investment Ratio
50,Teacher,High,Wealth preservation,79642.74,100000,47527.94,20277.18,9533.68,2542.3,20108.02,50000,Unemployed,24,rejected,27250.76,0.499995,0.201078189
44,Teacher,Low,Growth,71423.26,69271.93,23958.25,12616.37,15176.88,3385.49,5820.51,45267.81,Employed,24,rejected,11341.88,0.65347041,0.084022864
69,Teacher,High,Growth,76081.96,8235.63,2937.37,1657.03,871.39,36.38,2746.74,41476.18,Self-employed,48,approved,1280.34,5.035576443,0.333478619
24,Doctor,Low,Speculation,91941.8,28911.2,6473.29,5427.01,4418.87,1010.9,1775.84,50000,Retired,12,pending,1046.28,1.729373759,0.061421822
73,Teacher,Low,Income generation,45627.28,13803.33,1633.94,4037.84,1088.65,232.03,912.03,50000,Self-employed,36,approved,-2403.9,3.622051921,0.0660684
39,Retiree,Medium,Speculation,74194.86,26463.73,12556.81,4307.69,5194.03,1534.67,2607.53,42328.16,Self-employed,48,approved,8249.12,1.599417791,0.098528494
78,Engineer,High,Wealth preservation,50479.3,13317.4,4211.68,2346.17,2821.16,3.31,2183.98,50000,Employed,60,rejected,1865.51,3.754204709,0.16398216
84,Retiree,High,Wealth preservation,58640.56,72885.49,22756.01,21086.71,10629.87,455.15,22369.28,27212.74,Unemployed,12,approved,1669.3,0.373357806,0.306905711
51,Artist,Low,Speculation,54360.16,24395.92,7691.68,5158.36,4156.37,180.63,3829.59,50000,Self-employed,24,rejected,2533.32,2.049439028,0.156970224
53,Teacher,High,Wealth preservation,71840.05,94302.6,28447.59,11710.05,16394,840.63,32620.76,50000,Retired,60,rejected,16737.54,0.530202453,0.345912139
60,Engineer,Medium,Growth,47649.79,94400.83,27493.93,20428.22,10403.07,1769.99,17067.74,6087.6,Employed,60,rejected,7065.71,0.064486038,0.180798826
27,Teacher,Medium,Growth,56306.58,47787.85,12681.78,6247.25,10199.7,1146.48,9541.57,50000,Unemployed,36,pending,6434.53,1.046269161,0.199661009
70,Artist,High,Income generation,67516.03,35837.63,17478.14,3958.75,5772.03,667.14,10777.33,43398.33,Retired,48,rejected,13519.39,1.210937193,0.300718247
50,Retiree,High,Wealth preservation,79591.66,100000,40445.62,9924.96,13286.58,1424.25,25141.66,37365.31,Retired,60,rejected,30520.66,0.373649364,0.251414086
85,Student,Medium,Growth,28295.77,12176.26,1913.98,3580.41,2941.25,627.07,2104.62,29626.98,Employed,12,approved,-1666.43,2.432975891,0.172831984
43,Artist,Low,Wealth preservation,66616.56,9300.57,4580.95,905.83,1875.12,239.74,717.87,50000,Self-employed,60,rejected,3675.12,5.37543662,0.077177294
77,Engineer,Low,Income generation,56181.95,91997.8,13196.44,10630.77,10449.7,2595.08,6409.27,36721.87,Unemployed,48,approved,2565.67,0.399155967,0.069666887
64,Teacher,Low,Income generation,99192.49,100000,30857.63,25894.1,17595.65,1198.63,5448.65,50000,Self-employed,48,approved,4963.53,0.499995,0.054485955
61,Engineer,High,Wealth preservation,88941.51,100000,12025.25,21662.7,6638.52,1459.39,5026.06,50000,Retired,60,approved,-9637.45,0.499995,0.050260097
74,Engineer,Low,Income generation,28121.71,30728.08,3248.45,7514.49,6653.32,1126.29,4666.54,10534.4,Retired,24,approved,-4266.04,0.34281534,0.151860713
52,Artist,Low,Growth,110564.54,100000,45803.34,19776.5,11838.4,2019.44,13849.15,50000,Self-employed,48,pending,26026.84,0.499995,0.138490115
35,Lawyer,High,Speculation,104698.91,100000,46957.87,27563.8,8534.06,1667.06,22641.21,50000,Unemployed,24,approved,19394.07,0.499995,0.226409836
39,Retiree,Low,Income generation,52658.69,25224.15,8078.21,7505.85,2795.37,241.53,2290.33,20612.83,Retired,24,approved,572.36,0.817153912,0.090795496
26,Student,High,Wealth preservation,75347.91,80806.06,37599.91,10385.04,16642.34,2535.55,4957.91,50000,Unemployed,48,pending,27214.87,0.618757816,0.061354911
40,Retiree,Medium,Wealth preservation,40550.76,42855.5,4670.07,2539.71,9057.61,1308.92,3747.99,29946.28,Employed,24,pending,2130.36,0.698757015,0.087454412
36,Artist,Low,Growth,57000.25,45280.68,12455.61,11792.15,10754.47,1914.46,3834.92,50000,Retired,48,approved,663.46,1.104199314,0.084690321
25,Teacher,Medium,Wealth preservation,70883.01,1000,363.68,209.3,118.03,27.52,94.75,5000,Employed,48,rejected,154.38,4.995004995,0.094655345
75,Engineer,High,Growth,123100.16,100000,27264.37,15459.07,5789.51,1637.68,33202.7,50000,Employed,60,approved,11805.3,0.499995,0.33202368
72,Artist,Low,Wealth preservation,93237.03,67571.81,32828.85,4842.87,5885.24,1445.6,12579.43,28298.93,Self-employed,48,approved,27985.98,0.418791671,0.18616112
24,Engineer,Low,Income generation,32734.8,10466.2,5187.25,718.57,2555.43,278.7,906.79,5000,Retired,24,approved,4468.68,0.477682666,0.086631573
61,Retiree,High,Income generation,86630.51,100000,25459.14,10880.08,10963.18,1134.32,39793.62,50000,Retired,24,approved,14579.06,0.499995,0.397932221
21,Doctor,High,Wealth preservation,71106.39,100000,29070.78,11616.09,7839.13,1169.46,10817.62,45680.51,Employed,60,pending,17454.69,0.456800532,0.108175118
41,Student,Medium,Wealth preservation,63168.62,78928.63,12043.98,23442.02,10037.67,1598.38,6132.38,50000,Employed,12,rejected,-11398.04,0.633475667,0.07769427
18,Artist,High,Speculation,128564.64,100000,32224.73,7813.83,11894.19,2066.01,24564.9,50000,Unemployed,12,rejected,24410.9,0.499995,0.245646544
81,Engineer,Medium,Income generation,86608.45,100000,45551.8,25502.5,18579.25,1782.75,15309.22,50000,Employed,48,approved,20049.3,0.499995,0.153090669
63,Doctor,Low,Growth,72209.06,99061.16,47932.11,21010.62,15641.68,1344.55,14914.36,50000,Self-employed,24,pending,26921.49,0.504733594,0.15055557
77,Artist,Low,Speculation,51520.09,76503.23,11911.05,13048.4,13059.56,1050.6,10576.35,50000,Self-employed,24,approved,-1137.35,0.653558633,0.138245297
82,Retiree,Medium,Growth,74093.44,67662.83,13925.29,9019.62,14616.34,78.27,12326.01,50000,Retired,48,approved,4905.67,0.738947234,0.18216542
21,Doctor,High,Speculation,21620.55,3406.53,914.68,747.53,529.47,28.49,644.22,8983.95,Retired,36,pending,167.15,2.636499165,0.189057763
78,Retiree,Medium,Growth,136519.38,100000,26547.41,24769.77,24131.11,1588.71,16003.29,50000,Self-employed,36,approved,1777.64,0.499995,0.1600313
28,Teacher,High,Income generation,86744.23,19192.65,3923.48,3957.65,3995.47,952.15,6877.13,50000,Retired,48,approved,-34.17,2.605028225,0.358302355
65,Doctor,Low,Growth,101013.52,100000,39074.05,22866.07,13658.77,1245.12,17059.67,50000,Employed,48,pending,16207.98,0.499995,0.170594994
66,Student,Medium,Wealth preservation,59733.23,63924.52,17653.74,11937.24,12571.88,3427.86,8763.53,37522.21,Unemployed,48,rejected,5716.5,0.586967615,0.137089694
62,Engineer,Medium,Income generation,31918.08,21517.86,9096.18,6386.3,4529.25,254.11,4274.67,32655.1,Self-employed,12,approved,2709.88,1.517510686,0.198647605
83,Lawyer,Medium,Growth,68489.68,56627.54,26085.6,12780.61,7844.81,1917.72,7336.06,24044.44,Retired,24,rejected,13304.99,0.424599327,0.129547045
27,Retiree,Low,Income generation,63823.88,100000,43369.56,13654.95,13866.69,361.4,10266.52,19544.35,Retired,24,rejected,29714.61,0.195441546,0.102664173
35,Teacher,Low,Income generation,50745.29,46201.88,15762.96,12144.66,10773.85,1930.74,5560.59,42699.27,Retired,60,rejected,3618.3,0.924169013,0.120351588
66,Teacher,Medium,Growth,59207.13,61127.52,29127.49,13867.14,6447.83,1294.61,4420.31,50000,Self-employed,12,approved,15260.35,0.817948807,0.072311746
19,Engineer,Medium,Speculation,66091.97,74272.76,25222.41,3716.03,3979.58,1118.84,4543.54,14287.84,Employed,12,approved,21506.38,0.192367264,0.061172883
60,Retiree,Medium,Speculation,83443.47,70323.55,11091.73,6017.42,3578.98,11.65,6326.56,11135.48,Employed,36,pending,5074.31,0.158344134,0.089962325
33,Engineer,High,Wealth preservation,41569.74,26387.63,8293.84,4974.39,5524.37,292.58,6970.59,50000,Employed,60,rejected,3319.45,1.894755431,0.264151265
54,Engineer,Low,Income generation,94816.12,22464.95,8233.2,1854.52,3933.68,1006.24,4336.55,46653.74,Employed,36,rejected,6378.68,2.076642207,0.193027671
61,Lawyer,Low,Income generation,105725.4,98700.49,19388.12,14376.82,17553.54,816.82,14341.17,46645.26,Unemployed,60,approved,5011.3,0.472589218,0.145298414
52,Teacher,High,Wealth preservation,65363.11,66748,11866.75,7933.4,15071.29,513.81,6828.56,24192.11,Employed,48,approved,3933.35,0.362434044,0.102302057
35,Artist,Medium,Speculation,61028.36,100000,49930.22,16523.52,11123.85,1760.13,16140.21,50000,Unemployed,36,rejected,33406.7,0.499995,0.161400486
76,Engineer,Low,Income generation,58416.34,83583.56,32901.06,5511.48,10539.58,262.44,8894.37,49076.93,Employed,48,approved,27389.58,0.587153058,0.106411639
23,Artist,Medium,Income generation,52274.32,11608.15,3045.05,964.82,1966.01,123.71,1032.9,6563.47,Unemployed,36,pending,2080.23,0.565370419,0.088972922
25,Engineer,High,Income generation,55950.04,11833.76,5248.19,2585.08,2641.64,314.86,4323.9,50000,Retired,48,approved,2663.11,4.224842751,0.365355951
39,Doctor,Medium,Income generation,87821.74,67630,20647.86,11891.72,15956.57,1028.41,11053.93,50000,Self-employed,36,approved,8756.14,0.73930594,0.163444722
75,Doctor,High,Income generation,35773.87,24691.91,10732.4,6915.67,1700.82,358.71,7710.49,31403.12,Employed,36,approved,3816.73,1.271746424,0.312255218
24,Lawyer,High,Income generation,90361.52,100000,10880.79,9412.5,24837.22,5241.31,33631.08,9139.05,Unemployed,36,pending,1468.29,0.091389586,0.336307437
46,Teacher,Medium,Wealth preservation,20434.51,10510.07,1483.6,2621.97,1649.91,260.77,732.98,16619.45,Retired,60,approved,-1138.37,1.581137791,0.069734099
44,Engineer,Low,Speculation,70512.68,66624.46,14844.35,6323.8,6435.72,1255.67,9276.55,50000,Retired,12,rejected,8520.55,0.750463862,0.139234311
57,Lawyer,High,Speculation,96808.2,82087.11,8709.25,16621.02,6143.46,1459.4,25737.53,50000,Employed,60,pending,-7911.77,0.60910161,0.313535419
56,Artist,High,Speculation,43065.36,51765.09,10171.92,3873.26,10462.24,1649.06,7114.17,50000,Self-employed,48,pending,6298.66,0.965883265,0.137429155
18,Engineer,High,Growth,60261.69,82211.09,13957.36,13283.04,8426.46,1367.34,27072.56,14933.41,Retired,48,approved,674.32,0.181644938,0.329301445
21,Retiree,High,Speculation,120473.06,100000,31446.97,13840.59,16313.05,1365.6,38084.36,50000,Unemployed,24,rejected,17606.38,0.499995,0.380839792
35,Retiree,Low,Speculation,64277.76,69926.31,10677.33,8042.39,13371.81,1104.6,12210.28,9781.66,Unemployed,24,approved,2634.94,0.139883259,0.174613895
53,Lawyer,Medium,Wealth preservation,76368.4,67644.6,11700.34,5511.18,8129.82,432.65,5931.21,50000,Unemployed,12,rejected,6189.16,0.739146375,0.087680647
40,Lawyer,High,Wealth preservation,52594.19,20865.13,9950.95,5840.73,4779.72,514.64,6110.17,50000,Employed,36,pending,4110.22,2.396227762,0.29282718
77,Engineer,Low,Speculation,71595.81,100000,28233.37,21030.58,10242.48,2791.49,11140.21,33782.37,Retired,60,approved,7202.79,0.337820322,0.111400986
42,Artist,Medium,Wealth preservation,125095.78,100000,28596.23,19959.01,15099.15,1060.48,15774.16,46485.35,Employed,12,approved,8637.22,0.464848852,0.157740023
22,Doctor,Medium,Growth,108748.71,100000,25407.05,22638.97,12669.9,2699.52,8319.42,50000,Unemployed,60,pending,2768.08,0.499995,0.083193368
27,Engineer,High,Income generation,73779.75,100000,36962.73,18056.61,8340.92,1618.05,22631.86,41468.1,Employed,24,approved,18906.12,0.414676853,0.226316337
46,Artist,Medium,Income generation,90165.5,97999.23,34787.64,5732.5,21554.74,3833.39,10036.55,31541.86,Self-employed,60,approved,29055.14,0.321854959,0.102413535
30,Student,High,Wealth preservation,60185.1,100000,47948.68,14547.54,16048.35,732.48,13655.86,50000,Retired,48,pending,33401.14,0.499995,0.136557234
51,Teacher,Low,Growth,115007.65,100000,31953.57,21349.55,5507.57,63.68,8820.33,50000,Self-employed,48,rejected,10604.02,0.499995,0.088202418
66,Artist,Medium,Income generation,86763.41,64975.68,20428.7,15124.49,9010.54,1264.18,4092.38,50000,Self-employed,60,rejected,5304.21,0.769506845,0.062982288
34,Teacher,High,Wealth preservation,46200.42,45391.38,22107.19,8001.57,6262.97,290.68,12068.64,36169.29,Unemployed,24,pending,14105.62,0.796814135,0.2658737
34,Teacher,Medium,Growth,39853.03,8672.13,2391.48,983.65,469.01,9.42,463.16,46466.06,Employed,36,approved,1407.83,5.357473023,0.053401713
52,Lawyer,High,Speculation,71208.36,73224.42,17648.52,11776.05,9898.07,2175.31,25664.27,50000,Unemployed,60,approved,5872.47,0.682822987,0.35048307
53,Lawyer,Low,Wealth preservation,85754.02,95283.37,10238.43,10998.68,15750.75,1104.95,6456.29,50000,Retired,12,approved,-760.25,0.524745034,0.067758122
81,Engineer,Medium,Wealth preservation,104536.67,100000,32628.05,28132.96,6215.15,83.66,13841.18,50000,Retired,12,pending,4495.09,0.499995,0.138410416
75,Doctor,Low,Wealth preservation,68126.88,51632.41,20815.59,3744.91,9260.96,2450.39,4798.14,50000,Employed,12,pending,17070.68,0.96836525,0.092927041
37,Artist,High,Income generation,65195.37,59999.37,24803.73,11815.28,6693.71,1992.51,17494.49,23804.75,Self-employed,12,pending,12988.45,0.396743387,0.291573035
32,Lawyer,Low,Growth,96274.65,100000,11602.33,7782.7,12770.01,2892.6,7326.52,37752.43,Retired,12,pending,3819.63,0.377520525,0.073264467
76,Teacher,Medium,Wealth preservation,96378.58,55577.82,25007.73,4906.61,4628.82,640.2,5893.27,50000,Retired,36,rejected,20101.12,0.899623274,0.106034457
84,Lawyer,Low,Income generation,41666.49,82595.26,29282.26,24626.23,7342.58,1221.7,4345.62,41466.81,Retired,48,approved,4656.03,0.502042223,0.052612794
29,Artist,Medium,Growth,20057.02,25217.31,8830.49,4206.28,5982.22,689.95,1719.82,9285.93,Self-employed,60,pending,4624.21,0.36822174,0.068197274
39,Student,Low,Wealth preservation,34712.88,6248.81,2884.14,829.03,422.77,83.05,737.72,50000,Retired,48,rejected,2055.11,8.000243207,0.118038788
59,Artist,Low,Growth,4132.71,7715.07,1815.96,2249.99,1793.71,50.08,439.73,5000,Employed,48,rejected,-434.03,0.647998269,0.056988856
23,Doctor,High,Wealth preservation,51852.06,73773.47,25655.19,11064.5,17547.64,49.25,29283.44,48502.52,Employed,36,approved,14590.69,0.657443151,0.396931893
49,Doctor,Low,Income generation,54758.02,55318.59,9706.2,7473.28,10539.05,2055.26,6345.62,50000,Self-employed,36,rejected,2232.92,0.903838947,0.11470837
70,Engineer,Medium,Income generation,108186.37,44835.95,19400.07,9104.76,10885.77,2524.8,7211.77,50000,Employed,24,rejected,10295.31,1.115151677,0.160844348
84,Teacher,Medium,Income generation,57239.51,99051.2,17191.96,15631.38,18134.94,5205.13,18459.79,20616.66,Unemployed,48,approved,1560.58,0.208139345,0.18636426
68,Student,High,Income generation,103012.8,47121.84,15394.33,9904.69,9505.4,1154.25,11240.42,50000,Self-employed,24,rejected,5489.64,1.061056592,0.238534435
38,Student,Medium,Growth,71064.72,100000,47443.28,21469,18203.4,1569.52,5630.24,11424.77,Retired,48,approved,25974.28,0.114246558,0.056301837
37,Doctor,Medium,Growth,47443.02,86654.27,21991.77,15578.78,8118.32,24.9,10998.85,20144.62,Self-employed,60,approved,6412.99,0.232468493,0.126926499
61,Student,Low,Growth,98881.7,100000,22369.07,20994.69,18903.75,4845.59,9419.51,21371.96,Retired,12,rejected,1374.38,0.213717463,0.094194158
24,Retiree,Low,Wealth preservation,25975.03,7023.25,2509.52,795.34,1674.47,177.51,698.48,16856.42,Self-employed,12,approved,1714.18,2.399746592,0.099438374
35,Student,High,Growth,46342.08,50714.4,9670.53,6080.84,10886.48,2400.51,5457.84,50000,Self-employed,36,approved,3589.69,0.985893831,0.107617016
82,Doctor,High,Wealth preservation,103874.37,100000,27064.74,23439.7,19366.25,2821.61,24075.56,50000,Retired,48,rejected,3625.04,0.499995,0.240753192
24,Student,Low,Speculation,87717.44,100000,16985.46,5722.94,13536.57,1814.33,14204.2,24539.21,Self-employed,24,approved,11262.52,0.245389646,0.14204058
71,Teacher,High,Wealth preservation,56707.97,26607.76,13216.98,2320.58,1822.17,288.83,5488.11,50000,Self-employed,24,pending,10896.4,1.879080423,0.206252001
22,Retiree,Low,Wealth preservation,78837.24,13199.79,5902.56,2891.67,2071.66,303.68,2334.27,50000,Self-employed,24,approved,3010.89,3.787652103,0.176828053
73,Engineer,Medium,Growth,54926.78,18223.15,6819.35,3208.23,4306.42,1034.66,3616.74,50000,Unemployed,12,rejected,3611.12,2.743612185,0.198458639
78,Artist,Medium,Income generation,64388.1,8570.04,2951.47,2185.23,1273.98,375.58,445.43,32003.87,Self-employed,48,rejected,766.24,3.733954106,0.051969189
68,Student,Low,Income generation,114821.5,100000,13630.71,10709.69,11951.95,2910.48,8870.85,50000,Employed,36,rejected,2921.02,0.499995,0.088707613
77,Retiree,Medium,Income generation,107814.69,100000,43628.42,15172.55,10658.14,2412.12,13845.54,50000,Unemployed,60,approved,28455.87,0.499995,0.138454015
46,Retiree,Low,Speculation,65976.94,100000,14503.83,9558.61,11909.29,1358.13,8480.98,17532.12,Employed,60,rejected,4945.22,0.175319447,0.084808952
35,Artist,Medium,Growth,48546.85,11734.97,4292.4,1801.55,918.01,107.48,896.74,50000,Unemployed,12,rejected,2490.85,4.260406255,0.076409534
73,Doctor,High,Wealth preservation,78026.2,83470.36,29168,9729,12227.9,929.46,23764.53,50000,Unemployed,48,pending,19439,0.599007851,0.284702801
83,Doctor,High,Wealth preservation,113664.58,100000,29417.08,16156.5,23759.53,635.49,8891.61,50000,Employed,24,rejected,13260.58,0.499995,0.088915211
25,Engineer,High,Growth,78181.14,100000,27967.28,16348.21,20632.49,4764.18,38946.1,50000,Self-employed,12,rejected,11619.07,0.499995,0.389457105
78,Lawyer,High,Speculation,51954.92,53352.73,12412.65,2976.96,6096.54,342.15,5114.95,50000,Employed,12,rejected,9435.69,0.937141602,0.095868649
22,Retiree,High,Income generation,93018.48,46937.78,18112.26,8463.7,8172.95,1657.67,6862.7,50000,Unemployed,12,approved,9648.56,1.065217289,0.146205334
40,Engineer,Medium,Income generation,67551.04,79039.92,23608.39,11748.67,6954.83,152.74,8541.67,19401.68,Unemployed,36,approved,11859.72,0.245463742,0.108066429
35,Doctor,High,Wealth preservation,29035.1,3641.5,1019.98,322.96,456.59,131.35,652.98,37498.24,Unemployed,12,pending,697.02,10.29464379,0.179266987
62,Engineer,Medium,Income generation,61798.48,87602.05,33990.58,24908.69,18121.41,1978.39,6596.67,39580.36,Self-employed,60,rejected,9081.89,0.451814863,0.07530183
23,Retiree,Medium,Speculation,35399.35,31872.52,5387.91,7429.15,4916.63,639.74,3987.6,9322,Employed,60,approved,-2041.24,0.292468482,0.125106985
39,Doctor,High,Income generation,105120.83,100000,48429.12,29550.32,22581.54,4306.23,18018.09,14062.85,Unemployed,60,pending,18878.8,0.140627094,0.180179098
50,Lawyer,High,Income generation,53812.81,57985.85,8299.19,8861.88,13423.48,3824.91,12099.5,50000,Employed,60,rejected,-562.69,0.862264462,0.208659377
80,Teacher,Medium,Growth,108195.93,76796.12,26009.64,14858.71,13413.31,482.23,4286.37,50000,Retired,48,approved,11150.93,0.651066082,0.055814202
69,Engineer,Low,Income generation,54742.36,21652.94,10394.37,2160.16,3307.32,204.38,3407.54,50000,Unemployed,48,approved,8234.21,2.309048607,0.15736351
26,Artist,High,Speculation,66035.7,100000,10283.9,24652.28,19489.31,4240.98,23814.48,50000,Employed,48,approved,-14368.38,0.499995,0.238142419
56,Student,Medium,Income generation,109177.4,100000,44997.94,7916.17,11869.86,380.71,16614.05,50000,Retired,48,pending,37081.77,0.499995,0.166138839
23,Doctor,Medium,Wealth preservation,41268.85,33554.05,12436,8492.37,5944.71,958.76,3238.76,14890.29,Unemployed,36,approved,3943.63,0.44375705,0.096520792
45,Student,Medium,Speculation,42100.43,71834.52,13154.11,4426.7,15740.98,3881.82,4860.1,50000,Retired,24,pending,8727.41,0.696034497,0.067655945
26,Retiree,High,Speculation,49583.65,6891.86,1952.77,651.12,1612.3,295.82,2517.38,39539.65,Self-employed,60,pending,1301.65,5.736319902,0.3652156
35,Artist,Medium,Wealth preservation,64997.96,56653.22,23952.76,12796.76,10454.27,1392.73,5565.47,29332.7,Self-employed,48,approved,11156,0.517749605,0.098235754
68,Student,Low,Growth,131502.77,73685.63,32921.11,20850.62,16694.6,1151.55,11713.96,50000,Employed,24,approved,12070.49,0.678549148,0.158969952
74,Artist,Low,Wealth preservation,100498.53,73788.91,20753.32,16051.31,11273.21,46.29,5505.61,50000,Unemployed,60,pending,4702.01,0.677599417,0.074611963
56,Student,Medium,Speculation,91185.04,100000,27185.19,10913.59,18304.14,30.81,11590.8,21738.72,Retired,60,approved,16271.6,0.217385026,0.115906841
26,Lawyer,Low,Wealth preservation,82488.94,74458.72,32699.4,14110.83,4741.43,1088.45,5785.79,50000,Unemployed,12,rejected,18588.57,0.671504002,0.077703623
29,Student,Medium,Wealth preservation,115933.67,82546.67,38451.12,23919.3,19673.66,715.5,12047.67,50000,Retired,36,approved,14531.82,0.605710615,0.145948032
62,Teacher,Medium,Income generation,67892.9,34621,5268.22,2482.94,6560.16,509.38,5852.39,27682.52,Self-employed,24,rejected,2785.28,0.799564439,0.16903674
22,Lawyer,Low,Wealth preservation,69429.94,66783.58,19484.88,15411.85,5421.54,306.2,9744.07,26763.62,Self-employed,60,rejected,4073.03,0.400745501,0.145902991
40,Teacher,Medium,Speculation,54102.81,100000,13260.51,16145.57,11012.13,469.4,18084.74,50000,Self-employed,12,rejected,-2885.06,0.499995,0.180845592
23,Student,High,Income generation,81554.24,79262.39,33843.88,20769.37,16537.88,3315.49,25506.99,25796.63,Retired,12,pending,13074.51,0.325454538,0.321800392
65,Retiree,Low,Growth,128024.67,100000,19984,26176.67,19306.11,5447.62,17605.61,50000,Self-employed,60,pending,-6192.67,0.499995,0.176054339
20,Engineer,Low,Speculation,49206.42,78926.88,32853.8,12131.47,19274.78,599.14,5648.07,45788.97,Self-employed,36,pending,20722.33,0.580136829,0.071559885
67,Retiree,Low,Speculation,42089.21,8386.02,3503.1,1450.83,1704.01,483.21,1504.53,42219.41,Self-employed,48,pending,2052.27,5.03389881,0.179387911
38,Doctor,Low,Growth,87025.9,100000,14617.26,23216.34,7006.09,1616.33,7256.67,50000,Employed,48,rejected,-8599.08,0.499995,0.072565974
78,Student,High,Wealth preservation,120555.57,13647.08,3890.23,3542.99,2749.54,428.31,1257.35,19104.08,Retired,48,approved,347.24,1.39976319,0.092126512
43,Teacher,High,Speculation,65063.5,100000,45119.12,12719.33,6204.44,975.4,28251.66,50000,Self-employed,60,approved,32399.79,0.499995,0.282513775
71,Teacher,Medium,Growth,15097.08,8929.93,2441.12,2577.14,1013.97,52.44,1416.06,5000,Self-employed,36,pending,-136.02,0.559852109,0.158556836
69,Lawyer,Medium,Growth,106937.34,100000,44741.32,14687.19,13878.19,3508.91,9785.83,50000,Unemployed,60,approved,30054.13,0.499995,0.097857321
21,Retiree,High,Wealth preservation,30588.64,44751.71,5627.59,11192.79,3855.38,149.71,14902.18,38059.03,Self-employed,12,pending,-5565.2,0.850429616,0.332989444
79,Teacher,Medium,Income generation,117489.82,100000,15336.17,27892.06,22381.28,457.83,9733.22,50000,Unemployed,24,rejected,-12555.89,0.499995,0.097331227
76,Teacher,Low,Speculation,12167.8,4018.71,1486.6,546.09,805.78,118.01,675.74,5000,Unemployed,60,approved,940.51,1.243870827,0.168106654
71,Lawyer,High,Wealth preservation,118069.36,60076.99,10907.35,15631.83,14279.28,748.35,3355.27,50000,Unemployed,24,approved,-4724.48,0.832251545,0.055848573
42,Teacher,High,Income generation,42735.51,81792.14,22171.27,20061.52,13786.81,3295.61,9558.4,36383.06,Unemployed,24,approved,2109.75,0.444817988,0.116860656
34,Doctor,Medium,Speculation,120541.46,100000,14730,19778.1,8841.17,1011.7,7206.27,50000,Self-employed,36,rejected,-5048.1,0.499995,0.072061979
71,Retiree,High,Speculation,53223.3,50748.63,12646.02,2843.88,7486.94,1715.65,4064.22,50000,Employed,12,rejected,9802.14,0.985228858,0.080083737
44,Student,High,Growth,26467.76,43131.05,17652.84,8865.45,2252.34,424.93,16169.46,14626.7,Self-employed,24,pending,8787.39,0.339114417,0.374882715
53,Teacher,Low,Speculation,104621.66,100000,10894.64,13683.65,21846.5,6463.29,17346.29,35647.62,Employed,12,rejected,-2789.01,0.356472635,0.173461165
53,Student,Medium,Income generation,68860.46,97185.29,12826.61,22839.88,8306.4,96.5,10542.71,50000,Retired,24,pending,-10013.27,0.514475859,0.108479396
39,Engineer,High,Speculation,102063.74,24230.15,6873.19,3049.3,1648.15,230.17,4624.76,50000,Employed,60,approved,3823.89,2.063459638,0.190860112
78,Artist,High,Wealth preservation,29939.21,35891.85,6694.5,8925.51,5641.31,164.45,11196.94,11223,Self-employed,48,approved,-2231.01,0.312680659,0.311954609
35,Artist,Medium,Wealth preservation,81792.42,100000,39113.78,21194.64,9484.92,917.16,17927.63,50000,Employed,12,pending,17919.14,0.499995,0.179274507
